frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,RYG,R,TP-R,W,,,,, +RBY,,,L,,,,,,,
,,,,,,,,,GG,G,,L,,,,, +RYG,,,H,,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,,
,,3/9/16,12:40PM,17,4,GYR,4,,GYR,R,,W,2,RBR,R,,,,,,,,,,0,,
,,,,,,,,,RGR,R,,L,,GB,R,,,,,,,,,,,,
,,,,,,,,,GG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,TP-G,L,,,,,,,,,,,,,,,
,,3/10/16,12:50PM,18,15,RYG,8,0,RYG,R,,L,3,GYR,R,, -GYR,,WEB,,R,180,540,,4,,
,,,,,,,,,RGBl,R,,L,,RBY,G,, -RYG,,WEB,,,,,,,,
,,,,,,,,,RGR,G,,AN,,RBR,R,, -RB,,,,,,,,,,
,,,,,,,,,RB,R,TP-R,W,,,,, -RGBl,,,,,,,,,,
,,,,,,,,,GYR,R,,L,,,,, +RYG,,,AB,,,,,,,
,,,,,,,,,GG,R,,T,,,,, +RB,,,W,,,,,,,
,,,,,,,,,GBl,,,AB,,,,, -GBl,,,,,,,,,,
,,,,,,,,,RYBl,R,,L,,,,, -GG,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -RYBl,,,,,,,,,,
,,3/12/16,3:05PM,19,88,RYBl,5,0,RYBl,R,,W,1,RWR,R,, -RYBl,UP,WEB,,R,240,,,2,,
,,,,,,,,,RYG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RGR,R,TP-R,W,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,AN,,,,,,,,,,,,,,,
,,3/13/16,2:50PM,20,286,RYBl,3,,RYBl,R,,H,4,RYG,R,, -RYBl,R,,,,,,,0,,
,,,,,,,,,GG,R,,AN/H,,RYR,R,, +RYBl,,,T,,,,,,,
,,,,,,,,,RGR,R,,W,,RB,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,R,,,,,,,,,,,,
,,3/14/16,11:30AM,21,120,RBR,2,,RBR,R,,L,3,RYBl,R,, -RBR,,,,,,,,0,,
,,,,,,,,,GYR,R,,H,,RYG,R,, -GYR,,WEB,,,,,,,,
,,,,,,,,,,,,,,RBY,R,, +GYR,,,L,,,,,,,
,,3/15/16,2:00 pm,22,31,GYR,2,0,GYR,R,TP-R,L,2,RBR,R,, -RGR,,,,R,209,309,100,4,,
,,,,,,,,32,RGR,R,,L/H,,GBl,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
