frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,5/17/16,4:55 pm,24,55,GBW,4,0,GBW,R,,W/T,2,GBl,R,, -GY,R,,,R,152,,,0,
,,,,,,,,,GWB,R,TP-R,W/T,,GBG,G,,,,,,,,,,,
,,,,,,,,,GWBl,G,TP-G,L/T,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,H,,,,,,,,,,,,,,
,,5/17/16,5:48 pm,25,33,GWY,1,0,GWY,R,TP-G/WEB,AN,5,RW,G,,,,,,,,,,,
,,,,,,,,,,,,,,RWR,G,,,,,,,,,,,
,,,,,,,,,,,,,,GW,G,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,R,,,,,,,,,,,
,,5/18/16,3:15 pm,26,3,RB,6,0,RB,R,,L/H,1,GWBl,G,, -RYR,,,,R,128,,,3,
,,,,,,,,,GYBl,G,,AB,,,,, +RYR,,,AB,,,,,,
,,,,,,,,,RYR,R,TP-R,L,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W/T,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,TP-R,W/T,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,L,,,,,,,,,,,,,,
,,5/18/16,4:40 pm,27,11,RYG,4,0,RYG,R,,AN/H,0,,,, -GY,,,,,,,,0,
,,,,,,,,,GYR,G,,L/AB,,,,, -GYBl,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,L,,,,,,,,,,,,,,
