frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,G_,G,,T,,GYW,R,,,,,,,,,,,
,,,,,,,,,GBY,?,,H,,RB,R,,,,,,,,,,,
,,,,,,,,,RW,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,H,,,,,,,,,,,,,,
,,,,,,,,,RBl,?,,AB,,,,,,,,,,,,,,
,,3/10/16,4:15AM,18,8,GB,5,0,GB,R,,W,4,GBR,R,,,,,,,,,,,
,,,,,,,,,RB,R,,W,,GYG,R,,,,,,,,,,,
,,,,,,,,,GBY,R,TP-R,H,,GR,R,,,,,,,,,,,
,,,,,,,,,G_,R,,L,,RR,R,,,,,,,,,,,
,,,,,,,,,RWB,R,TP-R,H,,,,,,,,,,,,,,
,,3/12/16,12:35PM,19,26,RR,6,0,RR,R,,L/AB,5,RBl,R,,,,,,,,,,,
,,,,,,,,,RB,R,,T,,GG,R,,,,,,,,,,,
,,,,,,,,,GBR,R,,H,,GYG,R,,,,,,,,,,,
,,,,,,,,,GYW,G,,T,,GR,G,,,,,,,,,,,
,,,,,,,,,G_,R,,L,,RY,R,,,,,,,,,,,
,,,,,,,,,RW,R,,L/AB,,,,,,,,,,,,,,
,,3/13/16,3:25PM,20,2,GBG,3,,GBG,R,TP-R,W/T,3,GYW,R,, -G?,,,,R,158,204,,4,
,,,,,,,,,G_,R,,W/AB,,RW,R,, -GYBl,,,,,,,,,
,,,,,,,,,GYBl,G,,L,,RY,G,,,,,,,,,,,
,,3/14/16,10:10AM,21,9,GYG,4,,GYG,G,TP-G,L/T,5,GBR,G,, -GBY,R,,,,,,,,
,,,,,,,,,RYG,G,,H,,RB,R,, -RYG,,,,,,,,,
,,,,,,,,,GYBl,R,TP-R,W,,GBG,R,, +GBY,,,L,,,,,,
,,,,,,,,,GBY,R,TP-R,L,,RR,R,,,,,,,,,,,
,,,,,,,,,,,,,,RW,R,,,,,,,,,,,
,,3/15/16,3:02PM,22,2,GYG,6,,GYG,R,,L,4,RB,R,, -GYG,,,,,60,160,,4,
,,,,,,,,,RR,R,,L/AB,,GYBl,R,, +GYG,,,AB,,,,,,
,,,,,,,,,RBl,R,,L,,RW,R,, -GYG,,,,,,,,,
,,,,,,,,,GBG,R,,,,GG,R,, -RBl,,,,,,,,,
,,,,,,,,,G_,R,TP-R,H,,,,, -GBG,,,,,,,,,
,,,,,,,,,GYW,G,,L,,,,, -GYW,,,,,,,,,
,,3/16/16,11:39AM,23,5,RR,3,,RR,R,,H/AN,7,GYG,R,,,,,,,,,,,
,,,,,,,,,GYBl,R,,T,,GBG,G,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,UNMARKED,G,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYW,R,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,R,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,
,,3/21/16,11:43AM,24,24,GYG,5,,GYG,R,,L/H,,,,, -GBG,,,,,,,,,
,,,,,,,,,GBG,G,,L/T,,,,, +GBG,,,,,,,,,
,,,,,,,,,GYW,R,,T,,,,, -GYW,,,,,,,,,
,,,,,,,,,RWB,R,,W/T,,,,, -UNMARKED,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,3/22/16,12:15PM,25,72,GBY,6,,GBY,R,,L,4,GYG,R,, -GBY,R,,,,,,,,
,,,,,,,,,RW,R,,AN/H,,RBl,R,, -RW,,WEB,,,,,,,
,,,,,,,,,G_,G,TP-G,W,,GBG,R,, -GYW,G,,,,,,,,
,,,,,,,,,RB,R,TP-R,L/H,,GYBl,R,, +RW,,,H,,,,,,
,,,,,,,,,GYW,G,,W,,,,, +GBY,,,AN,,,,,,
,,,,,,,,,UNMARKED,G,,T,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
