frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,RWR,R,TP-R,L,,,,, -GWG,,,,,,,,,,
,,,,,,,,,GWG,R,,L,,,,, -RBY,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,, +RBY,,,T,,,,,,,
,,,,,,,,,GYR,G,WEB,AB,,,,, -GYR,,,,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,, -GWBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, -GW,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GW,,,AB,,,,,,,
7,DC,4/15/16,1:42PM,20,3,RBY,7,,RBY,G,,L,2,RWY,R,, -GYR,,,,,,,,0,,
,,,,,,,,,GBY,TOP,,L,,GWG,G,, -RBY,,WEB,,,,,,,,
,,,,,,,,,GY,R,,H,,,,, +GYR,,,AB,,,,,,,
,,,,,,,,,GBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,,,L/W,,,,,,,,,,,,,,,
,,,,,,,,,GG,,,T,,,,,,,,,,,,,,,
7,DC,4/16/16,2:26PM,21,26,RBY,5,,RBY,DOWN,,T/AB,2,RWY,R,, -RBY,,,,R,,,,1,,
,,,,,,,,,RWR,UP,TP-UP,H,,GWB,R,WEB, -RWR,,WEB,,,,,,,,
,,,,,,,,,GW,R,TP-R,L/AB,,,,, -GWG,,,,,,,,,,
,,,,,,,,,GWG,G,,L/AB,,,,, -GYW,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,,,,,,,,,,,,,,
7,DC,4/18/16,2:03PM,22,13,GG,9,,GG,TOP,,T,1,GBW,TOP,WEB, -GYW,,,,,,,,0,,
,,,,,,,,,GYR,R,,AB,,,,, -GYR,,,,,,,,,,
,,,,,,,,,GYW,TOP,,,,,,, -RWR,,,,,,,,,,
,,,,,,,,,GY,TOP,,T,,,,, -RWY,,,,,,,,,,
,,,,,,,,,RWBl,G,,H,,,,, -GG,,,,,,,,,,
,,,,,,,,,GBY,R,,T,,,,, +GG,,,AB,,,,,,,
,,,,,,,,,RBY,R,,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWR,?,,,,,,,,,,,,,,,,,
7,DC,4/19/16,2:47PM,23,2,GG,5,,GG,R,,T,1,RBY,G,WEB, -RWBl,,WEB,,,,,,0,,
,,,,,,,,,RWBl,G,,L,,,,, -GYW,,WEB,,,,,,,,
,,,,,,,,,GY,R,TP-R,AB,,,,, +GYW,,,AB,,,,,,,
,,,,,,,,,GYW,R,,L,,,,, +RWBl,,,T,,,,,,,
,,,,,,,,,GBW,R,,AB,,,,,,,,,,,,,,,
7,DC,4/21/16,12:56PM,24,22,GWB,7,,GWB,TOP,,L,0,,,, -GY,,,,,,,,0,,
,,,,,,,,,RWY,TOP,,L,,,,, -GG,,WEB,,,,,,,,
,,,,,,,,,GBY,TOP,,H,,,,, +GY,,,AB,,,,,,,
,,,,,,,,,GY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GG,TOP,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,,L/T,,,,,,,,,,,,,,,
7,DC,4/21/16,2:05PM,25,30,GBY,5,,GBY,TOP,,H,4,RBY,R,, -GYR,,,,,,,,0,,
,,,,,,,,,GBW,TOP,,L,,RWY,TOP,, -GBW,,,,,,,,,,
,,,,,,,,,GYR,R,,W,,GY,R,, +GBW,,,L,,,,,,,
,,,,,,,,,GYW,TOP,,W/AB,,GWB,R,, +GYR,,,AB,,,,,,,
,,,,,,,,,GW,TOP,,AB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,
