frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,RWB,,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
14,SCDR,3/10/16,NA,19,30,UNMARKED,9,0,UNMARKED,UP,,AB,,,,,,,,,,,,,0,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB/H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYB,UP,,T,,,,,,,,,,,,,,,
14,SCDR,3/12/16,2:25 PM,20,58,RWY,7,0,RWY,G,,,3,RYB,G,, -RWR,,,,,,,,0,,
,,,,,,,,,G_,R,,,,GBG,G,,,,,,,,,,,,
,,,,,,,,,RWR,R,,,,RBW,G,,,,,,,,,,,,
,,,,,,,,,RB,R,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,TP-G,,,,,,,,,,,,,,,,
14,SCDR,3/13/16,1:45 PM,21,9,RBl,11,0,RBl,R,,AB,3,GBl,R,, -RB,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,R,TP-R,AB,,RBG,UP,, -RWBl,,,,,,,,,,
,,,,,,,,,GWBl,R,,H,,RG,R,, +RWBl,,,T,,,,,,,
,,,,,,,,,GYW,G,,T,,,,, -RYB,,WEB,,,,,,,,
,,,,,,,,,RWR,G,,AB,,,,, -RBl,,,,,,,,,,
,,,,,,,,,RWBl,,,T,,,,, -RWBl,,,,,,,,,,
,,,,,,,,,RB,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GR,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWY,,,AB,,,,,,,,,,,,,,,
14,SCDR,3/14/16,11:00 AM,22,28,RBY,9,0,RBY,R,,L,8,RWY,R,, -UNMARKED,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,R,,W,,GR,R,, -UNMARKED,,,,,,,,,,
,,,,,,,,,GBG,G,,W,,GWBl,R,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,GWR,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,RYB,R,,,,,,,,,,,,
,,,,,,,,,G_,R,,W,,RG,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,RBl,R,,,,,,,,,,,,
,,,,,,,,,GWY,G,,L,,RWR,R,,,,,,,,,,,,
,,,,,,,,,GW_,,,AB,,,,,,,,,,,,,,,
14,SCDR,3/16/16,12:22 PM,23,35,RB,7,0,RB,UP,WEB,AN,0,,,, -RG,,,,,,,,0,,
,,,,,,,,,UNMARKED,UP,,L/T,,,,,,,,,,,,,,,
,,,,,,,,,RWR,UP,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,G_,UP,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,W/T,,,,,,,,,,,,,,,
14,SCDR,3/16/16,1:16 PM,24,4,RBY,13,0,RBY,R,,L/AB,4,RWR,,, -UNMARKED,G,,,,,,,0,,
,,,,,,,,,UNMARKED,R,,W,,RBl,R,, -RWY,,,,,,,,,,
,,,,,,,,,RYG,R,,T,,RBW,G,, +RWY,,,H,,,,,,,
,,,,,,,,,RWY,G,,L,,GY,DOWN,, -UNMARKED,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W/T/AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GW_,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RB,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,T,,,,,,,,,,,,,,,
14,SCDR,3/18/16,11:45 AM,25,28,RBW,13,0,RBW,UP,,W,0,,,, -UNMARKED,,,,,,,,0,,
,,,,,,,,,RBY,UP,,W/AB,,,,, +UNMARKED,,,,,,,,,,
,,,,,,,,,RB,R,,L/T,,,,, -RWG,G,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,, -GY,,,,,,,,,,
,,,,,,,,,GYB,G,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RG,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,
