frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GW,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,AB,,,,,,,,,,,,,,,
17,SCDR,3/15/16,2:30 PM,21,154,UNMARKED,3,0,UNMARKED,R,TP-R/WEB,W/T,2,RWB,G,, ,,,,R,,,NA,1,,
,,,,,,,,,GYW,R,,L,,UNMARKED,R,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AN,,,,,,,,,,,,,,,
17,SCDR,3/16/16,12:06 PM,22,306,UNMARKED,2,0,UNMARKED,R,,W,3,GYB,R,,,,,,,,,,0,,
,,,,,,,,,RWBl,R,,AB/AN,,GYW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYB,R,,,,,,,,,,,,
17,SCDR,3/17/16,1:50 PM,23,22,GYB,3,0,GYB,R,WEB,L,2,GWY,R,, -GYW,,,,R,,,NA,1,,
,,,,,,,,64,GYW,R,TP-R,L/W,,UNMARKED,R,, +GYW,,,H,,,,,,,
,,,,,,,,158,RWB,R,,L,,,,, -GYW,,,,,,,,,,
17,SCDR,3/21/16,NA,24,80,GYB,4,0,GYB,R,TP-R,L,0,,,, -GWY,,,,R,,,NA,3,,
,,,,,,,,,UNMARKED,R,,L,,,,, -UNMARKED,,,,,,,,,,
,,,,,,,,,GWY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,TP-R,W,,,,,,,,,,,,,,,
17,SCDR,3/22/16,12:00 PM,25,46,GWY,2,0,GWY,R,TP-R,AN,4,GYB,R,,,,,,R,,,NA,1,,
,,,,,,,,,UNMARKED,R,TP-R,L,,RWB,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,UNMARKED,R,,,,,,,,,,,,
