frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
29,SCDR,5/14/16,2:49 PM,13,24,GR,2,0,GR,R,TP-R,,4,RYG,G,, -GWBl,R,,,R,266,388,122,4,,
,,,,,,,,28,GWBl,G,,,,RWG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYB,R,,,,,,, ,,,,,
,,,,,,,,,,,,,,GBW,R,,,,,,,,,,,,
29,SCDR,5/14/16,3:44 PM,14,4,RYR,7,0,RYR,R,,H,6,RY,G,, -RYG,,,,,,,,0,,
,,,,,,,,,RWG,R,,L,,GB,G,, +RYG,,,AB,,,,,,,
,,,,,,,,,GWB,G,TP-G,T,,RBR,R,, -GYB,R,,,,,,,,,
,,,,,,,,,RYB,R,,H,,RW,R,, +GYB,,,AB,,,,,,,
,,,,,,,,,RYG,G,,L,,GBY,R,,,,,,,,,,,,
,,,,,,,,,GYB,G,,AB,,RB,R,,,,,,,,,,,,
,,,,,,,,,GR,R,,T,,,,,,,,,,,,,,,
29,SCDR,5/14/16,4:18 PM,15,7,GBW,6,0,GBW,R,,AB,7,GWB,G,, -RYB,,,,R,105,194,89,4,,
,,,,,,,,,GBG,R,,H,,GYBl,G,,,,,,,,,,,,
,,,,,,,,,GYG,R,TP-R,T,,RWG,G,,,,,,,,,,,,
,,,,,,,,,RY,R,,W,,RBW,G,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,RBR,R,,,,,, ,,,,,,
,,,,,,,,,GYB,R,,W,,RB,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,R,,,,,,,,,,,,
29,SCDR,5/14/16,1:21 PM,16,8,RB,5,0,RB,R,TP-R,T/L,4,RYG,G,, -GWBl,,,,R,68,347,279,4,,
,,,,,,,,4,RBG,R,TP-R,W/AN,,RY,G,, +GWBl,,,T,,,,,,,
,,,,,,,,9,GWY,G,,H/AB,,GG,G,, -GWB,,,,,,,,,,
,,,,,,,,16,GWBl,R,,T,,RYR,R,,,,,,,,,,,,
,,,,,,,,73,GWB,G,,W/T,,,,,,,,,,,,,,,
29,SCDR,5/15/16,2:05 PM,17,13,GWB,3,0,GWB,G,TP-G,L/AB,4,RW,R,, -GWBl,,,,R,155,213,58,4,,
,,,,,,,,5,RR,R,TP-R,W,,RWR,R,, -GWB,,,,,,,,,,
,,,,,,,,24,GWBl,R,,AN,,GYB,R,,,,,,, ,,,,,
,,,,,,,,,,,,,,GBY,G,,,,,,,,,,,,
29,SCDR,5/15/16,4:26 PM,18,5,GBG,4,0,GBG,G,,AN,5,GB,G,, -RYG,,,,R,104,253,149,4,,
,,,,,,,,29,RYG,G,,W,,GWBl,R,, -GBG,,,,,,,,,,
,,,,,,,,60,RW,R,TP-R,W/T,,GBR,R,,,,,,, ,,,,,
,,,,,,,,112,RWY,G,,L/AB,,GW,R,,,,,,, ,,,,,
,,,,,,,,,,,,,,GWR,R,,,,,,,,,,,,
29,SCDR,5/16/16,3:36 PM,19,1,GBR,6,0,GBR,R,TP-R,L/AB,5,RYG,R,, -RYB,,,,R,335,,NA,3,,
,,,,,,,,5,GWBl,R,,W/T,,GR,R,, -GWBl,,,,,,,,,,
,,,,,,,,10,RY,R,,AN,,RWR,R,, -RY,,, ,,,,,,,
,,,,,,,,16,GW,R,,W,,RBG,G,, -RYB,,,,,,,,,,
,,,,,,,,28,RYB,R,,L,,UNMARKED,R,, -GBY,,,,,,,,,,
,,,,,,,,173,GBY,R,,T,,,,, -GWBl,,,,,,,,,,
29,SCDR,5/16/16,4:44 PM,20,4,GYG,8,0,GYG,R,,AN/W/H,4,RY,R,, -GR,,,,,,,,0,,
,,,,,,,,,GW,R,,L/AB,,RBY,R,, -GBR,,,,,,,,,,
,,,,,,,,,GBR,R,,AB/T,,RYR,G,, -GWBl,,,,,,,,,,
,,,,,,,,,GR,G,,L,,RYG,G,, +GR,,,L,,,,,,,
,,,,,,,,,RWR,R,,W/T,,,,, +GBR,,,AB,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,, -GR,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,, +GWBl,,,T,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
29,SCDR,5/16/16,5:39 PM,21,19,GWG,5,0,GWG,R,TP-R,T,3,RWR,R,, -GR,,,,R,85,232,147,4,,
,,,,,,,,,GR,R,,L,,RYBl,R,, -GYG,,,,,,,,,,
,,,,,,,,,GYG,R,,AN/H,,GBY,R,, -RBG,,,,,,,,,,
,,,,,,,,,RBG,G,,W,,,,, +RBG,,,W,,,,,,,
,,,,,,,,,GBR,R,,AN,,,,,,,,,,, ,,,,
29,SCDR,5/17/16,3:01 PM,22,4,RYW,7,0,RYW,R,TP-R,W,4,GBG,R,, -GWBl,,,,R,233,,NA,3,,
,,,,,,,,,RY,R,,W,,GBY,R,, -RY,,,,, ,,,,,
,,,,,,,,,GWR,R,,L,,GW,R,, -RYG,,WEB,,,,,,,,
,,,,,,,,,RYG,G,,L,,R_,R,, -GWR,,,,,,,,,,
,,,,,,,,,RYBl,G,TP-G,AN,,,,, +GWR,,,AB,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,, -GWR,,,,,,,,,,
,,,,,,,,,GWY,G,TP-G,W,,,,, -GWY,,,,,,,,,,
29,SCDR,5/17/16,3:50 PM,23,3,RYBl,4,0,RYBl,R,,AB,6,GWBl,G,, -RYBl,,,,R,54,143,89,4,,
,,,,,,,,2,GWB,R,TP-R,AN,,RYB,G,, -RYG,,,,,,,,,,
,,,,,,,,27,RYG,G,,T,,GBR,G,,,,,,,,,,,,
,,,,,,,,119,RBG,R,,W,,GBY,R,,,,,,,, ,,,,
,,,,,,,,,,,,,,RB,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GY,R,,,,,,,,,,,,
29,SCDR,5/17/16,4:41 PM,24,22,RYG,6,0,RYG,G,,L/H,1,GR,R,, -GWBl,,,,,,,,0,,
,,,,,,,,,GWBl,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,TP-G,L/T,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,TP-R,H,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,TP-R,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,AB,,,,,,,,,,,,,,,
29,SCDR,5/17/16,5:31 PM,25,3,GWB,6,0,GWB,G,TP-G,T,9,GWBl,G,, -RYBl,,,,,,,,0,,
,,,,,,,,,RWR,R,,T,,RB,R,, -RYB,G,,,,,,,,,
,,,,,,,,,RBY,R,,L/H,,RY,R,, -GWR,,,,,,,,,,
,,,,,,,,,RYBl,R,,AB,,RWY,R,, -GWY,,,,,,,,,,
,,,,,,,,,RYB,G,,T,,RWG,R,, +RYBl,,,T,,,,,,,
,,,,,,,,,GWY,G,,W,,RYR,R,, -RYBl,,,,,,,,,,
,,,,,,,,,,,,,,GR,R,, +GWY,,,T,,,,,,,
,,,,,,,,,,,,,,GY,R,, +RYR,,TP-G,AB,,,,,,,
,,,,,,,,,,,,,,GG,R,, +RYB,,,,,,,,,,
29,SCDR,5/18/16,3:15 PM,26,3,RB,6,0,RB,R,,L/H,5,RBY,R,, -RYR,,,,R,128,,NA,3,,
,,,,,,,,2,GYB,G,,AB,,GWBl,R,, +RYR,,,AB,,,,,,,
,,,,,,,,3,RYR,R,,L,,GB,R,,,,,,,,,,,,
,,,,,,,,3,GWG,G,,W/T,,GYR,G,,,,,,,,,,,,
,,,,,,,,8,RYBl,R,,W/T,,RBR,G,,,,,,,,,,,,
,,,,,,,,197,RWY,R,,L,,,,,,,,,,,,,,,
29,SCDR,5/18/16,4:40 PM,27,11,RYG,4,0,RYG,R,,AN/H,5,GWG,G,, -GY,,,,,,,,0,,
,,,,,,,,6,GYR,G,,L/AB,,RBG,G,, -GYBl,,,,,,,,,,
,,,,,,,,13,GYBl,R,,L,,GYB,G,,,,,,,,,,,,
,,,,,,,,27,GY,R,,L,,RY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYB,R,,,,,,,,,,,,
