frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,GYB,G,,AN,,RR,R,, +GWY,,,,,,,,,
,,,,,,,,,GYG,R,,L,,GR,R,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GWY,?,,L,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,
,,2/18/16,12:45 pm,11,160,GW,5,0,GW,G,,L,5,GBG,G,, -RR,,WEB,,,,,,,
,,,,,,,,,RR,G,WEB,L/H/W,,GR,R,, -GYG,,,,,,,,,
,,,,,,,,,RY,R,,L,,RWBl,R,WEB, -GW,,,,,,,,,
,,,,,,,,,GYG,R,WEB,AB,,RBR,G,, +GW,,WEB,,,,,,,
,,,,,,,,,RYW,G,,L,,GWBl,G,,,,,,,,,,,
,,2/19/16,3:10 pm,12,88,RBl,4,0,RBl,G,,W,3,RBR,R,, -GYG,,,,G,,,,1,
,,,,,,,,,RY,G,,H,,GW,R,, +GYG,,,,,,,,,
,,,,,,,,,GYG,R,,W,,GWR,R,,,,,,,,,,,
,,,,,,,,,GYB,G,,W,,,,,,,,,,,,,,
,,2/20/16,1:45 pm,13,18,GY,13,0,GY,G,,L,5,RBR,R,,,,,,,,,,,
,,,,,,,,,GYW,R,,W,,GB,R,,,,,,,,,,,
,,,,,,,,,GWY,G,,W,,GWBl,G,,,,,,,,,,,
,,,,,,,,,GWR,G,,L,,GBG,R,,,,,,,,,,,
,,,,,,,,,GG,G,,AB,,RBG,R,,,,,,,,,,,
,,,,,,,,,RWB,G,,AB,,,,,,,,,,,,,,
