frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,UNMARKED,G,,H,,,,,,,,,,,,,,,
9,SCSR,3/13/16,NA,20,119,GR,3,0,GR,G,,W,2,RYR,R,, -GR,,,,,,,,0,,
,,,,,,,,,UNMARKED,R,,H,,RBR,G,, +GR,,,T,,,,,,,
,,,,,,,,,UNMARKED,UP,TP-UP,AN/AB,,,,,,,,,,,,,,,
9,SCSR,3/14/16,NA,21,20,GYW,7,0,GYW,UP,,AN,0,,,, -RBG,,,,,,,,0,,
,,,,,,,,,RG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,,
9,SCSR,3/15/16,12:45 PM,22,14,RYG,4,0,RYG,UP,,H,3,UNMARKED,G,, -UNMARKED,,WEB,,,,,,0,,
,,,,,,,,,RY,UP,,W,,GR,G,, -RBR,UP,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,L,,UNMARKED,G,WEB, -RY ,,,,,,,,,,
,,,,,,,,,RBR,G,,L,,,,, +UNMARKED,,,T,,,,,,,
,,,,,,,,,,,,,,,,, +RY,,,T,,,,,,,
9,SCSR,3/16/16,11:04 AM,23,126,RBG,11,0,RBG,G,,L,1,RBR,UP,, -GYB,,,,,,,,0,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYW,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYG,UP,,W,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYB,,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYB,UP,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBl,,,AB/T,,,,,,,,,,,,,,,
,,,,,,,,,RB,,,AB,,,,,,,,,,,,,,,
9,SCSR,3/17/16,1:00 PM,24,3,GYW,14,0,GYW,UP,,T,0,,,, -UNMARKED,,,,,,,,0,,
,,,,,,,,,UNMARKED,UP,,AB,,,,, +UNMARKED,,,,,,,,,,
,,,,,,,,,GYB,UP,,,,,,, -GR,,,,,,,,,,
,,,,,,,,,RBG,UP,,,,,,, -RBG,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,, -GYB,,,,,,,,,,
,,,,,,,,,RYR,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBR,UP,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GB,UP,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RB,UP,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,UP,,H,,,,,,,,,,,,,,,
,,,,,,,,,RW,UP,,AB,,,,,,,,,,,,,,,
9,SCSR,3/18/16,10:40 AM,25,71,RYR,8,0,RYR,UP,,H,3,RY,UP,,,,,,,,,,0,,
,,,,,,,,,GR,UP,,L/AB,,GYW,R,WEB,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,L/AB,,GYG,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RB,UP,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,,,,,,,,,,,,,,
